tweetid,timestamp,tweet_type,followers,retweet_id,retweet_count,text,author_id,language,verified,keywords
1.38E+18,2021-04-07T08:43:16.000Z,retweeted,119,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,7.23E+17,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:42:27.000Z,retweeted,4409,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,544639215,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:42:15.000Z,retweeted,264,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,255764136,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:38:30.000Z,retweeted,5215,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,2236296698,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:36:45.000Z,retweeted,1839,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,7.86E+17,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:36:14.000Z,retweeted,2532,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,3233633442,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:32:17.000Z,retweeted,162,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.25E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:31:53.000Z,retweeted,8652,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,2794584335,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:28:17.000Z,retweeted,387,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,20340604,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:27:59.000Z,retweeted,113,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1143786889,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:25:23.000Z,retweeted,37,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1659870534,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:18:41.000Z,retweeted,18,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,3027344566,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:18:33.000Z,retweeted,613,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,380853642,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:16:58.000Z,retweeted,41,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,305694156,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:16:45.000Z,retweeted,2137,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,7.49E+17,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:15:48.000Z,retweeted,276,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.10E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:15:07.000Z,retweeted,27,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.33E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:12:55.000Z,retweeted,2961,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,101278778,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:09:36.000Z,retweeted,45,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.06E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:08:02.000Z,retweeted,539,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,7.47E+17,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:06:37.000Z,retweeted,26,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,9.92E+17,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:06:34.000Z,retweeted,689,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,291670329,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:04:57.000Z,retweeted,3743,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,2243508517,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:04:50.000Z,retweeted,792,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,133468201,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:03:51.000Z,retweeted,32936,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,29422823,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:03:38.000Z,retweeted,169,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.37E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:03:24.000Z,retweeted,1475,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,523711195,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:02:58.000Z,retweeted,16141,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,22754724,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T08:01:09.000Z,retweeted,462,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,3312862943,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T07:45:08.000Z,retweeted,236,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,18788293,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T07:43:09.000Z,retweeted,268,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1851750589,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T07:37:17.000Z,retweeted,696,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,223225062,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
